Heartbeat @ Bedok ActiveSG Sport Centre,11_ BEDOK NORTH STREET 1_     Singapore 469662, 6443 5511 ,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bedok%20Sports%20Centre%20Heartbeat%20Bedok/heartbeatbedok01.jpg,Daily 7.00am – 10.00pm
Heartbeat @ Bedok ActiveSG Sports Hall,11_ BEDOK NORTH STREET 1_     Singapore 469662, 64435511,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bedok%20Sports%20Hall%20Heartbeat%20Bedok/heartbeatsportshall01.jpg,Daily 7.00am – 10.00pm
Bedok Stadium,1 Bedok North Street 2    Singapore 469642, 64434846,Bedok Stadium is a public sports stadium operated by Sport Singapore.  Facility Information: a. 1 Pitch b. 8 Lane Running Track c. 1 Fitness Corner,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bedok%20Stadium/Bedok%20Stadium4.jpg,Daily 4.30am – 8.30pm
Heartbeat @ Bedok ActiveSG Tennis Centre,11_ BEDOK NORTH STREET 1_     Singapore 469662, 64435511,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bedok%20Tennis%20Centre%20Heartbeat%20Bedok/Heartbeat%20bedok%2012.jpg,unknown
Bishan Sports Centre,5 Bishan St 14    Singapore 579783, 63526631,Bishan Sport Centre_ formerly known as Bishan Sport and Recreation Centre_ underwent a series of major make-overs in the last two years_ and has seen the best of the Asian Youth Games (2009)_ and the Youth Olympics Games (2010). Through these two major games_ Bishan has shown its capability to deliver a world-class facility for gymnastics and athletics events. Currently equipped with world class facilities_ it aims to reach out not only to serve the local needs_ but also international training and competitions’ needs.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bishan%20Sports%20Centre/Bishan%20Sports%20Centre.jpg,unknown
Bishan Sports Hall,5 Bishan Street 14    Singapore 579783, 63526631,,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bishan%20Sports%20Hall/Bishan%20Sports%20Hall1.jpg,Daily 7.00am – 10.00pm
Bishan Stadium,7 Bishan Street 14    Singapore 579784, 63526631,Bishan Stadium is a public sport stadium operated by Sport Singapore. Facility Information: a. 1 8 Lane Running Track b. 1 Field c. 4 Long Jump Pits d. 2 High Jump Pits e. 1 Seating Gallery f. 1 Portable Seating Gallery,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bishan%20Stadium/Bishan%20Stadium1.jpg,Daily 4.30am - 8.30pm
Bishan Swimming Complex,1 Bishan Street 14    Singapore 579778, 63536117,Bishan Swimming Complex is a public swimming complex managed by Sport Singapore. Facility Information: a. 1 Competition Pool b. 1 Teaching Pool c.  1 Wading Pool,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bishan%20Swimming%20Complex/Bishan%20Swimming%20Complex.jpg,unknown
Bukit Batok Swimming Complex,2 Bukit Batok Street 22    Singapore 659581, 65610939,Bukit Batok Swimming Complex offers a pleasant environment for which leisure swimmers can take a leisure away from the hustle and bustle of the city. This facility is also popular with schools for swimming lessons.  Background: Opened to the public on 4 April 1988. Seating Capacity: 370     NOTICE: The competition pool is closed for maintenance on the following period:  3 April 9 to 11 April 23 & 24 April,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bukit%20Batok%20Swimming%20Complex/Bukit%20Batok%20Swimming%20Complex3.jpg,unknown
Bukit Gombak ActiveSG  Gym,810 Bukit Batok West Avenue 5    Singapore 659088, 68962197,Bukit Gombak ActiveSG Gym_ formerly known as Bukit Gombak ClubFITT Gym_ is a public gym operated by Sport Singapore. It is located in Bukit Gombak Sports Centre. Bukit Gombak Sports is strategically located beside the Bukit Gombak and next to the scenic Little Guilin Park.  With a good mix of young and old residents_ the SRC has built a steady take up for her Learn-to-Play programmes for the use of the stadium and Bukit Gombak Sports Centre is a public sports stadium operated by Sport Singapore.     NOTICE: The gym is closed for maintenance from 3 Jan 2019 to 20 Jan 2019.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bukit%20Gombak%20ActiveSG%20Gym/Bukit%20Gombak%20ActiveSG%20Gym2.jpg,Daily: 7.00am - 10.00pm (Including Public Holidays)
Bukit Gombak Sports Centre,810 Bukit Gombak West Ave 5    Singapore 659088, 68962193,Bukit Gombak Sport Centre_ formerly known as Bukit Gombak Sport and Recreation Centre_ is strategically located beside the Bukit Gombak MRT_ and next to the scenic Little Guilin Park. With a good mix of young and old residents_ Bukit Gombak Sport Centre has built a steady take up rate for sports programmes and for the use of the stadium and gym.,https://www.myactivesg.com/~/media/Consumer/Images/Facilities/Bukit%20Gombak%20Sports%20Centre/Bukit%20Gombak%20Sports%20Centre2.jpg,unknown
